order_id,purchase_ts,ship_ts,delivery_ts,refund_ts
8cd17ee4c3e,6/17/20,6/19/20,6/28/20,
a18ce04dc71,6/17/20,6/19/20,6/28/20,
310358c064f,6/18/20,6/19/20,6/28/20,
11c7736f3bd,6/13/20,6/19/20,6/29/20,
940824d6491,6/14/20,6/19/20,6/29/20,7/5/20
583a1976d79,6/14/20,6/19/20,6/29/20,
ddc3ff24ca0,6/14/20,6/19/20,6/29/20,
19c51267f07,6/15/20,6/19/20,6/29/20,
89332687699,6/15/20,6/19/20,6/29/20,
e0c3816de73,6/15/20,6/19/20,6/29/20,
1e604328a21,6/16/20,6/19/20,6/29/20,
888b7a112e7,6/16/20,6/19/20,6/29/20,
9bf721bb2e9,6/16/20,6/19/20,6/29/20,
c3faf761b37,6/16/20,6/19/20,6/29/20,
f3ef6210e9c,6/16/20,6/19/20,6/29/20,
477465bbb0c,6/17/20,6/19/20,6/29/20,
5b82d1699e7,6/17/20,6/19/20,6/29/20,
8283637992e,6/17/20,6/19/20,6/29/20,
d462f905f29,6/17/20,6/19/20,6/29/20,
9dee063e3e4,6/13/20,6/19/20,6/30/20,
d7b37ad18d0,6/13/20,6/19/20,6/30/20,
ed06aa3e061,6/13/20,6/19/20,6/30/20,
68380ca3e7f,6/16/20,6/19/20,6/30/20,
ec8b32c0fd2,6/16/20,6/19/20,6/30/20,
f27229e22ad,6/16/20,6/19/20,6/30/20,
7713bd804fa,6/17/20,6/19/20,6/30/20,
807e702bdfe,6/18/20,6/19/20,6/30/20,
999b455ca75,6/18/20,6/19/20,6/30/20,
ac77a48a800,6/18/20,6/19/20,6/30/20,
ad28523b2ff,6/18/20,6/19/20,6/30/20,
eb43a0aaf38,6/14/20,6/19/20,7/1/20,
05b5c4ffdd6,6/15/20,6/19/20,7/1/20,
290e85bb8db,6/15/20,6/19/20,7/1/20,
41a2602bef0,6/15/20,6/19/20,7/1/20,
45c8baccd00,6/15/20,6/19/20,7/1/20,
5a7ad18bfb7,6/16/20,6/19/20,7/1/20,
a30d86930d2,6/16/20,6/19/20,7/1/20,
282ba7b1c63,6/17/20,6/19/20,7/1/20,
580d14568c1,6/17/20,6/19/20,7/1/20,
9c62797fbd4,6/17/20,6/19/20,7/1/20,
ee0a0792462,6/17/20,6/19/20,7/1/20,
18862168bbd,6/18/20,6/19/20,7/1/20,
a0f82d6a20b,6/18/20,6/19/20,7/1/20,
5554836ea9b,6/13/20,6/19/20,7/2/20,
ad47a0a4687,6/13/20,6/19/20,7/2/20,
ebb2c69ecb2,6/15/20,6/19/20,7/2/20,
43bddf1fea2,6/15/20,6/19/20,7/2/20,
7a82058d57f,6/15/20,6/19/20,7/2/20,
d9d9b99500f,6/15/20,6/19/20,7/2/20,
ed0495211af,6/15/20,6/19/20,7/2/20,
03fa272f17a,6/16/20,6/19/20,7/2/20,
1d9e574b85a,6/16/20,6/19/20,7/2/20,
7d1deadaba6,6/16/20,6/19/20,7/2/20,
fe42777c5b4,6/16/20,6/19/20,7/2/20,
7f4f4e6fdad,6/17/20,6/19/20,7/2/20,
afab3cb93ec,6/17/20,6/19/20,7/2/20,
cabb376d65c,6/17/20,6/19/20,7/2/20,
1f2a7f366ef,6/13/20,6/19/20,7/3/20,
a07c90b5f35,6/13/20,6/19/20,7/3/20,
fe9bde89aec,6/14/20,6/19/20,7/3/20,
49ab1cbb60a,6/14/20,6/19/20,7/3/20,
47522ab73aa,6/15/20,6/19/20,7/3/20,7/7/20
952b1f7a24e,6/15/20,6/19/20,7/3/20,
9dc7ed4cca5,6/15/20,6/19/20,7/3/20,
a7ac10727e7,6/16/20,6/19/20,7/3/20,
f84b2c0d5aa,6/16/20,6/19/20,7/3/20,
3b86f3d9c08,6/17/20,6/19/20,7/3/20,
5e220c57c96,6/17/20,6/19/20,7/3/20,
2968e11608a,6/18/20,6/19/20,7/3/20,
2c38b056072,6/18/20,6/19/20,7/3/20,
59b5e4af370,6/18/20,6/19/20,7/3/20,
8069d6b6edc,6/18/20,6/19/20,7/3/20,
8c9750501ab,2/24/21,3/2/21,3/9/21,
303c97e3ce5,2/26/21,3/2/21,3/9/21,
5e7b1f292ea,2/26/21,3/2/21,3/9/21,
af769bbed0f,2/26/21,3/2/21,3/9/21,
bee70f390ef,2/26/21,3/2/21,3/9/21,
1540f87c1c4,2/27/21,3/2/21,3/9/21,
3c5f77079a0,2/27/21,3/2/21,3/9/21,
2d72e510e4c,2/28/21,3/2/21,3/9/21,
46220eb586e,2/28/21,3/2/21,3/9/21,
5f7d7da510f,2/28/21,3/2/21,3/9/21,
a1b9949a48c,2/28/21,3/2/21,3/9/21,
a5bfdbae26a,2/28/21,3/2/21,3/9/21,
bb0f73f6b5f,2/28/21,3/2/21,3/9/21,
973efd98592,2/25/21,3/2/21,3/10/21,3/15/21
ddbd60d5965,2/25/21,3/2/21,3/10/21,
b16218fd1e4,2/26/21,3/2/21,3/10/21,
a131de99088,2/27/21,3/2/21,3/10/21,
14c0c6bb86b,2/25/21,3/2/21,3/11/21,
29e0f87309a,2/25/21,3/2/21,3/11/21,
3577999d5e6,2/25/21,3/2/21,3/11/21,
c790b72f72f,2/25/21,3/2/21,3/11/21,
5d478b9d2a0,2/26/21,3/2/21,3/11/21,
ce9f95d065a,2/26/21,3/2/21,3/11/21,
498adc0c6af,2/27/21,3/2/21,3/11/21,
d6eef9c42ae,2/27/21,3/2/21,3/11/21,
b153df023ca,2/28/21,3/2/21,3/11/21,
8aa711b63d0,3/1/21,3/2/21,3/11/21,
9aedd410725,2/24/21,3/2/21,3/12/21,
85d6a136efd,2/25/21,3/2/21,3/12/21,
21f8f70dded,2/26/21,3/2/21,3/12/21,
669cd3884e0,2/26/21,3/2/21,3/12/21,
1b4d7ded4b4,2/27/21,3/2/21,3/12/21,
2ae2c7288f7,2/27/21,3/2/21,3/12/21,
979b87817ca,2/24/21,3/2/21,3/13/21,
005be394883,2/26/21,3/2/21,3/13/21,
7875aed0c5a,2/26/21,3/2/21,3/13/21,
e6e09d1bed0,2/26/21,3/2/21,3/13/21,
efb9256f2fd,2/26/21,3/2/21,3/13/21,
37f259eb54b,2/27/21,3/2/21,3/13/21,
9dea81f99fb,2/27/21,3/2/21,3/13/21,
efcb85bd57e,2/27/21,3/2/21,3/13/21,
531a441d454,2/28/21,3/2/21,3/13/21,
c60ba930d58,2/28/21,3/2/21,3/13/21,
ba4ed6c0597,2/24/21,3/2/21,3/14/21,
9f03c0d587f,2/25/21,3/2/21,3/14/21,
eef626bc178,2/26/21,3/2/21,3/14/21,
2ba5c9cd5b4,2/27/21,3/2/21,3/14/21,
1a480af34e8,2/28/21,3/2/21,3/14/21,
c4c7637ace0,2/28/21,3/2/21,3/14/21,
d1dea3b64ee,2/28/21,3/2/21,3/14/21,
90df78d4a74,3/1/21,3/2/21,3/14/21,
c9f80ae8d73,3/1/21,3/2/21,3/14/21,
60d681572f0,2/24/21,3/2/21,3/15/21,
3253d908c56,2/25/21,3/2/21,3/15/21,
005fdbfdcc7,2/25/21,3/2/21,3/15/21,
9a07a5cb7ae,2/25/21,3/2/21,3/15/21,
1afa3b43f5a,2/26/21,3/2/21,3/15/21,
66c833105da,2/27/21,3/2/21,3/15/21,
b52893fbe7d,2/27/21,3/2/21,3/15/21,
abbc2d02a3b,2/28/21,3/2/21,3/15/21,
16bf45dc303,3/1/21,3/2/21,3/15/21,
aa3b9c9b335,3/1/21,3/2/21,3/15/21,
034e63162e9,2/24/21,3/2/21,3/16/21,
6b559744598,2/24/21,3/2/21,3/16/21,
0139be59719,2/26/21,3/2/21,3/16/21,
1adc92376fb,2/26/21,3/2/21,3/16/21,
5b5a420a66a,2/26/21,3/2/21,3/16/21,
ffd401acdb7,2/26/21,3/2/21,3/16/21,
03d2a6c191e,2/27/21,3/2/21,3/16/21,
f1ce5fc7872,2/28/21,3/2/21,3/16/21,
db523842172,11/7/21,11/13/21,11/20/21,
24f259a514b,11/8/21,11/13/21,11/20/21,
5c35363ed59,11/8/21,11/13/21,11/20/21,
9123850bb7e,11/8/21,11/13/21,11/20/21,
ffd4a1d0398,11/10/21,11/13/21,11/20/21,
a50a55a0ad4,11/11/21,11/13/21,11/20/21,
4c92090efea,11/12/21,11/13/21,11/20/21,
7324bcff1de,11/12/21,11/13/21,11/20/21,
9c37d353e22,11/12/21,11/13/21,11/20/21,
1c936ddbb21,11/7/21,11/13/21,11/21/21,
80c1410cfcd,11/7/21,11/13/21,11/21/21,
d6f966e0981,11/8/21,11/13/21,11/21/21,
3d2ad954a73,11/9/21,11/13/21,11/21/21,
47a160fbfbe,11/9/21,11/13/21,11/21/21,
75d22e19d7b,11/10/21,11/13/21,11/21/21,
f47a82328a8,11/10/21,11/13/21,11/21/21,
8a88ab1398f,11/11/21,11/13/21,11/21/21,
5030b15fb22,11/12/21,11/13/21,11/21/21,
7a6f306ece6,11/12/21,11/13/21,11/21/21,
7c980fba3a7,11/12/21,11/13/21,11/21/21,
65297590435,11/7/21,11/13/21,11/22/21,
5d1efc9b436,11/7/21,11/13/21,11/22/21,
fb4ba21e149,11/8/21,11/13/21,11/22/21,
3fb11d31d69,11/9/21,11/13/21,11/22/21,
681f783e481,11/9/21,11/13/21,11/22/21,
600400c0c90,11/10/21,11/13/21,11/22/21,
779be4744cf,11/10/21,11/13/21,11/22/21,
a0e565c90bc,11/10/21,11/13/21,11/22/21,
33e096d4455,11/11/21,11/13/21,11/22/21,
4b7c26b779e,11/11/21,11/13/21,11/22/21,
2b802f527fe,11/12/21,11/13/21,11/22/21,
9db41ed3ff8,11/12/21,11/13/21,11/22/21,
24056e8bf27,11/7/21,11/13/21,11/23/21,
7d006620368,11/7/21,11/13/21,11/23/21,
8464b84b44c,11/7/21,11/13/21,11/23/21,
4cde8ff82fd,11/8/21,11/13/21,11/23/21,
8e37d6b53f3,11/8/21,11/13/21,11/23/21,
a792bd213fb,11/8/21,11/13/21,11/23/21,
1293fa71bed,11/9/21,11/13/21,11/23/21,
2fcfc06901b,11/9/21,11/13/21,11/23/21,
5471915552,11/10/21,11/13/21,11/23/21,
d4bdc0e7059,11/10/21,11/13/21,11/23/21,
0310d9a5852,11/11/21,11/13/21,11/23/21,
770c46d9ddf,11/11/21,11/13/21,11/23/21,
b6243aa8189,11/11/21,11/13/21,11/23/21,
576b3d443dd,11/12/21,11/13/21,11/23/21,
56103a79d62,11/7/21,11/13/21,11/24/21,
432287455c1,11/8/21,11/13/21,11/24/21,
6ac25130ecb,11/8/21,11/13/21,11/24/21,
3d516e3a130,11/9/21,11/13/21,11/24/21,
75505262bc9,11/10/21,11/13/21,11/24/21,
cf3df3b3c05,11/10/21,11/13/21,11/24/21,
ed619d09889,11/10/21,11/13/21,11/24/21,
37d2755782e,11/11/21,11/13/21,11/24/21,
be2cff6e317,11/12/21,11/13/21,11/24/21,
45606bc7c57,11/7/21,11/13/21,11/25/21,
849f7c9f688,11/7/21,11/13/21,11/25/21,
75cb232b78b,11/8/21,11/13/21,11/25/21,
d75514d0bf7,11/8/21,11/13/21,11/25/21,
f7f8a6332e8,11/8/21,11/13/21,11/25/21,
75afabd0fcb,11/9/21,11/13/21,11/25/21,
18edbcea655,11/10/21,11/13/21,11/25/21,
69f5df7fecc,11/10/21,11/13/21,11/25/21,
a50a32d87eb,11/10/21,11/13/21,11/25/21,
ac93cb96e41,11/10/21,11/13/21,11/25/21,
ca79cb9e874,11/10/21,11/13/21,11/25/21,
d3d3b5acd8a,11/10/21,11/13/21,11/25/21,
ef1e8cce2ff,11/10/21,11/13/21,11/25/21,
27070a51130,11/11/21,11/13/21,11/25/21,
2d77352db97,11/11/21,11/13/21,11/25/21,
75327f3e30b,11/11/21,11/13/21,11/25/21,
069f93faa31,11/7/21,11/13/21,11/26/21,
131d6189d6f,11/7/21,11/13/21,11/26/21,
4cd1a5b195a,11/7/21,11/13/21,11/26/21,
bf8f67a80ad,11/7/21,11/13/21,11/26/21,
ced7c380555,11/7/21,11/13/21,11/26/21,
6adc9118035,11/8/21,11/13/21,11/26/21,
a56f6a4970e,11/10/21,11/13/21,11/26/21,
b47fb0dbd4d,11/10/21,11/13/21,11/26/21,
eae643417f8,11/11/21,11/13/21,11/26/21,
36d5f2d7106,11/7/21,11/13/21,11/27/21,
9fe1753a519,11/7/21,11/13/21,11/27/21,
c27f95f94d4,11/7/21,11/13/21,11/27/21,
492e430b0ec,11/11/21,11/13/21,11/27/21,
6670b61e7e2,11/11/21,11/13/21,11/27/21,
66f448952a6,11/11/21,11/13/21,11/27/21,
ae6140c2a58,11/11/21,11/13/21,11/27/21,
5a984c38e68,11/12/21,11/13/21,11/27/21,
c81dd767269,11/12/21,11/13/21,11/27/21,
e771dca2619,11/12/21,11/13/21,11/27/21,
3e7afe8063e,7/22/22,7/27/22,8/3/22,
1b77d256528,7/23/22,7/27/22,8/3/22,
b5f9ed073b3,7/23/22,7/27/22,8/3/22,
0481cbddd9a,7/24/22,7/27/22,8/3/22,
2745139b996,7/24/22,7/27/22,8/3/22,
37d3849c1d2,7/24/22,7/27/22,8/3/22,
72120f63cac,7/24/22,7/27/22,8/3/22,
88b93879229,7/24/22,7/27/22,8/3/22,
b1b1c17f7e8,7/26/22,7/27/22,8/3/22,
e532365f633,7/26/22,7/27/22,8/3/22,
73f95b1e755,7/22/22,7/27/22,8/4/22,
1326cce899d,7/23/22,7/27/22,8/4/22,
5e2a33b5fc4,7/23/22,7/27/22,8/4/22,
7a5e5bd3ad1,7/23/22,7/27/22,8/4/22,
91f83d491d7,7/23/22,7/27/22,8/4/22,
9954f80974a,7/23/22,7/27/22,8/4/22,
f17d866b9fb,7/24/22,7/27/22,8/4/22,
1aea7c93a77,7/25/22,7/27/22,8/4/22,
5650a944ae3,7/26/22,7/27/22,8/4/22,
8aad4d2ac66,7/22/22,7/27/22,8/5/22,
1d308189061,7/23/22,7/27/22,8/5/22,
36d97d0f97a,7/24/22,7/27/22,8/5/22,
e0540ae80b5,7/21/22,7/27/22,8/6/22,
ee9196f41f0,7/21/22,7/27/22,8/6/22,
3b4ba9f6947,7/22/22,7/27/22,8/6/22,
eadf4102519,7/24/22,7/27/22,8/6/22,
789fe880268,7/25/22,7/27/22,8/6/22,
82657e921aa,7/23/22,7/27/22,8/7/22,
f230bfd00df,7/23/22,7/27/22,8/7/22,
286e1d9583d,7/25/22,7/27/22,8/7/22,
3a6978ef2f4,7/25/22,7/27/22,8/7/22,
53da2e6f29b,7/25/22,7/27/22,8/7/22,
f9343ffa507,7/26/22,7/27/22,8/7/22,
168caf9c1f7,7/21/22,7/27/22,8/8/22,
d5fee4159a7,7/21/22,7/27/22,8/8/22,
0d3ea8b8a7b,7/22/22,7/27/22,8/8/22,
f6a5561df78,7/22/22,7/27/22,8/8/22,
650edc3a70f,7/23/22,7/27/22,8/8/22,
8d374007328,7/23/22,7/27/22,8/8/22,
b354e1a5e2e,7/23/22,7/27/22,8/8/22,
61742ab5379,7/26/22,7/27/22,8/8/22,
67132926cf9,7/26/22,7/27/22,8/8/22,
9ea5a224cc9,7/26/22,7/27/22,8/8/22,
006e2464264,7/21/22,7/27/22,8/9/22,
33fe0ae1bc3,7/21/22,7/27/22,8/9/22,
bebfb71536a,7/22/22,7/27/22,8/9/22,
6e3921f4102,7/23/22,7/27/22,8/9/22,
af6d5b4edc8,7/23/22,7/27/22,8/9/22,
f489249556a,7/26/22,7/27/22,8/9/22,
56923ce7a77,7/21/22,7/27/22,8/10/22,
f4f2eba07b9,7/22/22,7/27/22,8/10/22,
6b783eb6dd7,7/24/22,7/27/22,8/10/22,
76c695d67f2,7/24/22,7/27/22,8/10/22,
d0b9a5849f2,7/25/22,7/27/22,8/10/22,
02bdec4db8c,1/20/19,1/25/19,2/1/19,
25f7e2d56eb,1/22/19,1/25/19,2/1/19,
0936fad7649,1/24/19,1/25/19,2/1/19,
fa9d0ebcda3,1/20/19,1/25/19,2/2/19,
2bb45f54be2,1/22/19,1/25/19,2/2/19,
29114c3e12b,1/21/19,1/25/19,2/3/19,
61258b8524b,1/22/19,1/25/19,2/3/19,
76189501f16,1/21/19,1/25/19,2/4/19,2/10/19
2196748e31d,1/19/19,1/25/19,2/5/19,
594fa5bbfe6,1/19/19,1/25/19,2/5/19,
8e09e993c48,1/19/19,1/25/19,2/5/19,
98ccf0734b0,1/21/19,1/25/19,2/5/19,
79c8e9b537f,1/22/19,1/25/19,2/5/19,
5bbbf619a7b,1/19/19,1/25/19,2/6/19,
82e613dbf11,1/21/19,1/25/19,2/6/19,
f35caea2155,1/22/19,1/25/19,2/6/19,
a9f001e9b11,1/24/19,1/25/19,2/6/19,
fbb632f338d,1/24/19,1/25/19,2/6/19,
dc04b6e42c7,1/20/19,1/25/19,2/7/19,
4e694c797e6,1/21/19,1/25/19,2/7/19,
a1fdf63caea,1/21/19,1/25/19,2/7/19,
13dbd3e96dd,1/22/19,1/25/19,2/7/19,
d144194d0bb,1/23/19,1/25/19,2/7/19,
aadf31938d2,1/20/19,1/25/19,2/8/19,
e52d6aa5067,1/20/19,1/25/19,2/8/19,
1c45451147a,1/21/19,1/25/19,2/8/19,
848a0700beb,1/21/19,1/25/19,2/8/19,
bd215e80bab,1/21/19,1/25/19,2/8/19,
bbdec2136ef,1/22/19,1/25/19,2/8/19,
1fdc6305d83,1/23/19,1/25/19,2/8/19,
7d7d6dc816f,10/2/19,10/8/19,10/15/19,
9bd055421fd,10/2/19,10/8/19,10/15/19,
6c65b6a2c1f,10/5/19,10/8/19,10/15/19,
d7f33ad30ec,10/5/19,10/8/19,10/15/19,
ea13772119e,10/5/19,10/8/19,10/15/19,
14b88f83bbc,10/6/19,10/8/19,10/15/19,
1cb203b5b23,10/6/19,10/8/19,10/15/19,
706b2fbfc3f,10/2/19,10/8/19,10/16/19,
3a149705642,10/3/19,10/8/19,10/16/19,
9c097c566c5,10/3/19,10/8/19,10/16/19,
399f7a68cd3,10/4/19,10/8/19,10/16/19,
6b5b86ea3c4,10/4/19,10/8/19,10/16/19,
2552b56fec0,10/5/19,10/8/19,10/16/19,
25de9f505b0,10/5/19,10/8/19,10/16/19,
4101fadee90,10/5/19,10/8/19,10/16/19,
5b8364103fb,10/7/19,10/8/19,10/16/19,
a42d91fe876,10/3/19,10/8/19,10/17/19,
d6230fc62fe,10/3/19,10/8/19,10/17/19,
559ef5132f1,10/6/19,10/8/19,10/17/19,
a35e0c050a0,10/6/19,10/8/19,10/17/19,
613683c90f3,10/7/19,10/8/19,10/17/19,
b68919287f7,10/2/19,10/8/19,10/18/19,
e7d3fb56eb7,10/3/19,10/8/19,10/18/19,
c62121d4d3b,10/4/19,10/8/19,10/18/19,
ec6f92aabb6,10/3/19,10/8/19,10/19/19,
61f5b28a09b,10/4/19,10/8/19,10/19/19,
1c4b91bdefb,10/6/19,10/8/19,10/19/19,
35ec96410e7,10/6/19,10/8/19,10/19/19,
addec780771,10/6/19,10/8/19,10/19/19,
b5d959cd127,10/6/19,10/8/19,10/19/19,
835cadaa6f6,10/6/19,10/8/19,10/19/19,
cecccee2380,10/3/19,10/8/19,10/20/19,
7485004a281,10/4/19,10/8/19,10/20/19,10/25/19
197e330e79b,10/5/19,10/8/19,10/20/19,
a49eea1b1a6,10/6/19,10/8/19,10/20/19,
365eb808807,10/2/19,10/8/19,10/21/19,
7feb6b57288,10/4/19,10/8/19,10/21/19,
b5aab207964,10/5/19,10/8/19,10/21/19,
b8f76538d27,10/5/19,10/8/19,10/21/19,
ddb0a40e175,10/5/19,10/8/19,10/21/19,
d0c69b525fe,10/7/19,10/8/19,10/21/19,
6b71bc11ea0,10/5/19,10/8/19,10/22/19,
5d08e424ff9,6/14/20,6/20/20,6/27/20,
e0dc1de1911,6/14/20,6/20/20,6/27/20,
65f00db6fd4,6/15/20,6/20/20,6/27/20,
98272b91a62,6/15/20,6/20/20,6/27/20,
fc354a880fb,6/15/20,6/20/20,6/27/20,
e6bed81849f,6/16/20,6/20/20,6/27/20,
3aeaaa1a320,6/16/20,6/20/20,6/27/20,
6c38405bffd,6/16/20,6/20/20,6/27/20,
87e96c0ce38,6/17/20,6/20/20,6/27/20,
8e1a6787450,6/17/20,6/20/20,6/27/20,
af0a2d4cc3f,6/17/20,6/20/20,6/27/20,
ef84d31fc70,6/17/20,6/20/20,6/27/20,
13d9fbb1a44,6/18/20,6/20/20,6/27/20,
29cd0cca99d,6/18/20,6/20/20,6/27/20,
5015430aefc,6/18/20,6/20/20,6/27/20,
906e9c43760,6/19/20,6/20/20,6/27/20,
44f381eb837,6/14/20,6/20/20,6/28/20,
3e819a3cd22,6/14/20,6/20/20,6/28/20,
78fe1a6e0db,6/14/20,6/20/20,6/28/20,
e14c8419464,6/14/20,6/20/20,6/28/20,
bf24e250cbb,6/15/20,6/20/20,6/28/20,
f86d31c25c0,6/15/20,6/20/20,6/28/20,
580e3ae0d65,6/16/20,6/20/20,6/28/20,
3097129950c,6/16/20,6/20/20,6/28/20,
8997dac369c,6/16/20,6/20/20,6/28/20,
8fc62ba8c49,6/17/20,6/20/20,6/28/20,
052c94e1ef7,6/18/20,6/20/20,6/28/20,
8d58cd1412a,6/18/20,6/20/20,6/28/20,
d112a90276e,6/18/20,6/20/20,6/28/20,
ac37e717f87,6/14/20,6/20/20,6/29/20,
ae016235e1e,6/14/20,6/20/20,6/29/20,
b73955d69a3,6/14/20,6/20/20,6/29/20,
d0b5b526361,6/14/20,6/20/20,6/29/20,
8b1c27a38a9,6/15/20,6/20/20,6/29/20,
d24d652c502,6/15/20,6/20/20,6/29/20,
218775e4ce4,6/16/20,6/20/20,6/29/20,
aaa6f0ed622,6/17/20,6/20/20,6/29/20,
c367ddc4f94,6/17/20,6/20/20,6/29/20,
c729c3ed09d,6/18/20,6/20/20,6/29/20,7/7/20
6c331052c1b,6/19/20,6/20/20,6/29/20,
f08b9c03f9e,6/19/20,6/20/20,6/29/20,
91cdf0062b4,6/14/20,6/20/20,6/30/20,
45af9749116,6/16/20,6/20/20,6/30/20,
3d8f0a14c3f,6/17/20,6/20/20,6/30/20,
3e49de1413c,6/17/20,6/20/20,6/30/20,
73a93b2569c,6/17/20,6/20/20,6/30/20,
ce84874d49c,6/18/20,6/20/20,6/30/20,
cf09836e1cd,6/18/20,6/20/20,6/30/20,
8bed6540d5b,6/14/20,6/20/20,7/1/20,
c477da4eed9,6/14/20,6/20/20,7/1/20,
2143505667c,6/15/20,6/20/20,7/1/20,
601fcba0d24,6/15/20,6/20/20,7/1/20,
69f666a9f2c,6/15/20,6/20/20,7/1/20,
